"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "JSON", "CSS", "Markdown", "comment", "blank", "total"
"r:\Code\Javascript\Nextjs\foodica\src\style\buttons\3.css", "CSS", 0, 0, 0, 0, 0, 40, 0, 2, 3, 45
"r:\Code\Javascript\Nextjs\foodica\src\style\loading-dots.css", "CSS", 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"r:\Code\Javascript\Nextjs\foodica\src\style\loading-spinner.css", "CSS", 0, 0, 0, 0, 0, 31, 0, 1, 5, 37
"r:\Code\Javascript\Nextjs\foodica\src\style\social-links\1.css", "CSS", 0, 0, 0, 0, 0, 69, 0, 1, 15, 85
"r:\Code\Javascript\Nextjs\foodica\src\style\social-links\2.css", "CSS", 0, 0, 0, 0, 0, 72, 0, 6, 12, 90
"r:\Code\Javascript\Nextjs\foodica\src\style\social-links\3.css", "CSS", 0, 0, 0, 0, 0, 64, 0, 6, 12, 82
"r:\Code\Javascript\Nextjs\foodica\src\style\styles.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 1, 4, 23
"r:\Code\Javascript\Nextjs\foodica\src\types\blog-types.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 1, 7, 111
"r:\Code\Javascript\Nextjs\foodica\src\types\link-types.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"r:\Code\Javascript\Nextjs\foodica\src\types\logo-types.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"r:\Code\Javascript\Nextjs\foodica\src\types\user-types.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"r:\Code\Javascript\Nextjs\foodica\tailwind.config.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"r:\Code\Javascript\Nextjs\foodica\tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 27, 1401, 34, 6533, 8492, 521, 23, 95, 863, 17989
