"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "CSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"r:\Code\Javascript\Nextjs\foodica\src\components\Navbar.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"r:\Code\Javascript\Nextjs\foodica\src\components\ReadMoreBtn.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\CustomInput.tsx", "TypeScript JSX", 0, 311, 0, 0, 0, 0, 0, 0, 17, 328
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\ProfileImageInput.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\RegisterForm.tsx", "TypeScript JSX", 0, 166, 0, 0, 0, 0, 0, 10, 10, 186
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\SubmitAccountButton.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\inputField.tsx", "TypeScript JSX", 0, 134, 0, 0, 0, 0, 0, 0, 9, 143
"r:\Code\Javascript\Nextjs\foodica\src\components\RegisterForm\schemas.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"r:\Code\Javascript\Nextjs\foodica\src\components\Sidebar.tsx", "TypeScript JSX", 0, 125, 0, 0, 0, 0, 0, 2, 9, 136
"r:\Code\Javascript\Nextjs\foodica\src\components\SingleImageDropzone.tsx", "TypeScript JSX", 0, 195, 0, 0, 0, 0, 0, 13, 16, 224
"r:\Code\Javascript\Nextjs\foodica\src\components\SocialWidget.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 1, 2, 23
"r:\Code\Javascript\Nextjs\foodica\src\components\UserBadge.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 0, 3, 3, 64
"r:\Code\Javascript\Nextjs\foodica\src\httpService.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 3, 10, 53
"r:\Code\Javascript\Nextjs\foodica\src\lib\edgestore-server.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 6, 7, 34
"r:\Code\Javascript\Nextjs\foodica\src\lib\edgestore.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"r:\Code\Javascript\Nextjs\foodica\src\lib\next-auth-session.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"r:\Code\Javascript\Nextjs\foodica\src\store\blogIngredientsSlice.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"r:\Code\Javascript\Nextjs\foodica\src\store\pageHeaderSlice.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 0, 7, 141
"r:\Code\Javascript\Nextjs\foodica\src\store\redux-provider.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"r:\Code\Javascript\Nextjs\foodica\src\store\store.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"r:\Code\Javascript\Nextjs\foodica\src\utils\allSides\blogsFunctions.ts", "TypeScript", 211, 0, 0, 0, 0, 0, 0, 1, 11, 223
"r:\Code\Javascript\Nextjs\foodica\src\utils\allSides\linksFunctions.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 5, 108
"r:\Code\Javascript\Nextjs\foodica\src\utils\allSides\usersFunctions.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"r:\Code\Javascript\Nextjs\foodica\src\utils\clientside\blogFunctions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 1, 20
"r:\Code\Javascript\Nextjs\foodica\src\utils\clientside\userFunctions.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"r:\Code\Javascript\Nextjs\foodica\src\utils\general-utils.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"r:\Code\Javascript\Nextjs\foodica\src\utils\serverside\blogIdHashing.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"r:\Code\Javascript\Nextjs\foodica\src\utils\serverside\blogsFunctions.ts", "TypeScript", 193, 0, 0, 0, 0, 0, 0, 6, 33, 232
"r:\Code\Javascript\Nextjs\foodica\src\utils\serverside\logoFunctions.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 4, 75
"r:\Code\Javascript\Nextjs\foodica\src\utils\serverside\passwordFunctions.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 2, 2, 22
"r:\Code\Javascript\Nextjs\foodica\src\utils\serverside\userFunctions.ts", "TypeScript", 168, 0, 0, 0, 0, 0, 0, 1, 23, 192
"r:\Code\Javascript\Nextjs\foodica\tailwind.config.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"r:\Code\Javascript\Nextjs\foodica\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"Total", "-", 1348, 4535, 27, 8874, 28, 34, 23, 113, 565, 15547
